"COUNTRY","CODE","VALUE","REGION"
"Afghanistan","AFG",0,"ASIA (EX. NEAR EAST)"
"Albania","ALB",0,"EASTERN EUROPE"
"Algeria","DZA",0,"NORTHERN AFRICA"
"American Samoa","ASM",0,"OCEANIA"
"Andorra","AND",0,"WESTERN EUROPE"
"Angola","AGO",0,"SUB-SAHARAN AFRICA"
"Anguilla","AIA",0,"LATIN AMER. and CARIB"
"Antigua and Barbuda","ATG",0,"LATIN AMER. and CARIB"
"Argentina","ARG",0,"LATIN AMER. and CARIB"
"Armenia","ARM",0,"C.W. OF IND. STATES"
"Aruba","ABW",0,"LATIN AMER. and CARIB"
"Australia","AUS",0,"OCEANIA"
"Austria","AUT",0,"WESTERN EUROPE"
"Azerbaijan","AZE",0,"C.W. OF IND. STATES"
"Bahamas","BHM",0,"LATIN AMER. and CARIB"
"Bahrain","BHR",0,"NEAR EAST"
"Bangladesh","BGD",0,"ASIA (EX. NEAR EAST)"
"Barbados","BRB",0,"LATIN AMER. and CARIB"
"Belarus","BLR",0,"C.W. OF IND. STATES"
"Belgium","BEL",0,"WESTERN EUROPE"
"Belize","BLZ",0,"LATIN AMER. and CARIB"
"Benin","BEN",0,"SUB-SAHARAN AFRICA"
"Bermuda","BMU",0,"NORTHERN AMERICA"
"Bhutan","BTN",0,"ASIA (EX. NEAR EAST)"
"Bolivia","BOL",0,"LATIN AMER. and CARIB"
"Bosnia and Herzegovina","BIH",0,"EASTERN EUROPE"
"Botswana","BWA",0,"SUB-SAHARAN AFRICA"
"Brazil","BRA",0,"LATIN AMER. and CARIB"
"British Virgin Islands","VGB",0,"LATIN AMER. and CARIB"
"Brunei","BRN",0,"ASIA (EX. NEAR EAST)"
"Bulgaria","BGR",0,"EASTERN EUROPE"
"Burkina Faso","BFA",0,"SUB-SAHARAN AFRICA"
"Burma","MMR",0,"ASIA (EX. NEAR EAST)"
"Burundi","BDI",0,"SUB-SAHARAN AFRICA"
"Cabo Verde","CPV",0,"SUB-SAHARAN AFRICA"
"Cambodia","KHM",0,"ASIA (EX. NEAR EAST)"
"Cameroon","CMR",0,"SUB-SAHARAN AFRICA"
"Canada","CAN",0,"NORTHERN AMERICA"
"Cayman Islands","CYM",0,"LATIN AMER. and CARIB"
"Central African Republic","CAF",0,"SUB-SAHARAN AFRICA"
"Chad","TCD",0,"SUB-SAHARAN AFRICA"
"Chile","CHL",0,"LATIN AMER. and CARIB"
"China (People's Republic of)","CHN",0,"ASIA (EX. NEAR EAST)"
"Colombia","COL",0,"LATIN AMER. and CARIB"
"Comoros","COM",0,"SUB-SAHARAN AFRICA"
"Democratic Republic of the Congo","COD",0,"SUB-SAHARAN AFRICA"
"Congo","COG",0,"SUB-SAHARAN AFRICA"
"Cook Islands","COK",0,"OCEANIA"
"Costa Rica","CRI",0,"LATIN AMER. and CARIB"
"Côte d'Ivoire","CIV",0,"SUB-SAHARAN AFRICA"
"Croatia","HRV",0,"EASTERN EUROPE"
"Cuba","CUB",0,"LATIN AMER. and CARIB"
"Curacao","CUW",0,"LATIN AMER. and CARIB"
"Cyprus","CYP",0,"NEAR EAST"
"Czech Republic","CZE",0,"EASTERN EUROPE"
"Denmark","DNK",0,"WESTERN EUROPE"
"Djibouti","DJI",0,"SUB-SAHARAN AFRICA"
"Dominica","DMA",0,"LATIN AMER. and CARIB"
"Dominican Republic","DOM",0,"LATIN AMER. and CARIB"
"Ecuador","ECU",0,"LATIN AMER. and CARIB"
"Egypt","EGY",0,"NORTHERN AFRICA"
"El Salvador","SLV",0,"LATIN AMER. and CARIB"
"Equatorial Guinea","GNQ",0,"SUB-SAHARAN AFRICA"
"Eritrea","ERI",0,"SUB-SAHARAN AFRICA"
"Estonia","EST",0,"BALTICS"
"Ethiopia","ETH",0,"SUB-SAHARAN AFRICA"
"Falkland Islands (Islas Malvinas)","FLK",0,"ASIA (EX. NEAR EAST)"
"Faroe Islands","FRO",0,"WESTERN EUROPE"
"Fiji","FJI",0,"OCEANIA"
"Finland","FIN",0,"WESTERN EUROPE"
"France","FRA",0,"WESTERN EUROPE"
"French Polynesia","PYF",0,"OCEANIA"
"Gabon","GAB",0,"SUB-SAHARAN AFRICA"
"Gambia","GMB",0,"SUB-SAHARAN AFRICA"
"Georgia","GEO",0,"C.W. OF IND. STATES"
"Germany","DEU",0,"WESTERN EUROPE"
"Ghana","GHA",0,"SUB-SAHARAN AFRICA"
"Gibraltar","GIB",0,"WESTERN EUROPE"
"Greece","GRC",0,"WESTERN EUROPE"
"Greenland","GRL",0,"NORTHERN AMERICA"
"Grenada","GRD",0,"LATIN AMER. and CARIB"
"Guam","GUM",0,"OCEANIA"
"Guatemala","GTM",0,"LATIN AMER. and CARIB"
"Guernsey","GGY",0,"WESTERN EUROPE"
"Guinea-Bissau","GNB",0,"SUB-SAHARAN AFRICA"
"Guinea","GIN",0,"SUB-SAHARAN AFRICA"
"Guyana","GUY",0,"LATIN AMER. and CARIB"
"Haiti","HTI",0,"LATIN AMER. and CARIB"
"Honduras","HND",0,"LATIN AMER. and CARIB"
"Hong Kong","HKG",0,"ASIA (EX. NEAR EAST)"
"Hungary","HUN",0,"EASTERN EUROPE"
"Iceland","ISL",0,"WESTERN EUROPE"
"India","IND",0,"ASIA (EX. NEAR EAST)"
"Indonesia","IDN",0,"ASIA (EX. NEAR EAST)"
"Iran","IRN",0,"ASIA (EX. NEAR EAST)"
"Iraq","IRQ",0,"NEAR EAST"
"Ireland","IRL",0,"WESTERN EUROPE"
"Isle of Man","IMN",0,"WESTERN EUROPE"
"Israel","ISR",0,"NEAR EAST"
"Italy","ITA",0,"WESTERN EUROPE"
"Jamaica","JAM",0,"LATIN AMER. and CARIB"
"Japan","JPN",0,"ASIA (EX. NEAR EAST)"
"Jersey","JEY",0,"WESTERN EUROPE"
"Jordan","JOR",0,"NEAR EAST"
"Kazakhstan","KAZ",0,"C.W. OF IND. STATES"
"Kenya","KEN",0,"SUB-SAHARAN AFRICA"
"Kiribati","KIR",0,"OCEANIA"
"Democratic People's Republic of Korea","PRK",0,"ASIA (EX. NEAR EAST)"
"Korea","KOR",0,"ASIA (EX. NEAR EAST)"
"Kosovo","KSV",0,"ASIA (EX. NEAR EAST)"
"Kuwait","KWT",0,"NEAR EAST"
"Kyrgyzstan","KGZ",0,"C.W. OF IND. STATES"
"Lao People's Democratic Republic","LAO",0,"ASIA (EX. NEAR EAST)"
"Latvia","LVA",0,"BALTICS"
"Lebanon","LBN",0,"NEAR EAST"
"Lesotho","LSO",0,"SUB-SAHARAN AFRICA"
"Liberia","LBR",0,"SUB-SAHARAN AFRICA"
"Libya","LBY",0,"NORTHERN AFRICA"
"Liechtenstein","LIE",0,"WESTERN EUROPE"
"Lithuania","LTU",0,"BALTICS"
"Luxembourg","LUX",0,"WESTERN EUROPE"
"Macau","MAC",0,"ASIA (EX. NEAR EAST)"
"Former Yugoslav Republic of Macedonia","MKD",0,"EASTERN EUROPE"
"Madagascar","MDG",0,"SUB-SAHARAN AFRICA"
"Malawi","MWI",0,"SUB-SAHARAN AFRICA"
"Malaysia","MYS",0,"ASIA (EX. NEAR EAST)"
"Maldives","MDV",0,"ASIA (EX. NEAR EAST)"
"Mali","MLI",0,"SUB-SAHARAN AFRICA"
"Malta","MLT",0,"WESTERN EUROPE"
"Marshall Islands","MHL",0,"OCEANIA"
"Mauritania","MRT",0,"SUB-SAHARAN AFRICA"
"Mauritius","MUS",0,"SUB-SAHARAN AFRICA"
"Mexico","MEX",0,"LATIN AMER. and CARIB"
"Micronesia","FSM",0,"OCEANIA"
"Moldova","MDA",0,"C.W. OF IND. STATES"
