"Country.Name","Country.Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Aruba","ABW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1330167598,1320670391,1379888268,1531843575,1665363128,1722798883,1873452514,1920262570,1941094972,2021301676,2228279330,2331005587,2421474860,2623726257,2791960894,2498932961,2467703911,2584463687,NA,NA,NA,NA,NA,NA
"Afghanistan","AFG",537777811.1,548888895.6,546666677.8,751111191.1,800000044.4,1006666638,1399999967,1673333418,1373333367,1408888922,1748886596,1831108971,1595555476,1733333264,2155555498,2366666616,2555555567,2953333418,3300000109,3697940410,3641723322,3478787909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2461665938,4128820723,4583644246,5285465686,6275073572,7057598407,9843842455,10190529882,12486943506,15936800636,17930239400,20536542737,20264253974,20616104298,19215562179,19469022208,20815300220
"Angola","AGO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5930503401,5550483036,5550483036,5784341596,6131475065,7553560459,7072063345,8083872012,8769250550,10201099040,11228764963,10603784541,8307810974,5768720422,4438321017,5538749260,7526446606,7648377413,6506229607,6152922943,9129594819,8936063723,12497347956,14188949398,19640853734,28233712738,41789479932,60448924662,84178035579,75492385928,82526143645,1.04116e+11,1.13923e+11,1.24913e+11,1.2673e+11,1.02621e+11,95337203468,1.24209e+11
"Albania","ALB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1924242453,1965384586,2173750013,2156624900,2.126e+09,2335124988,2101624963,1139166646,709452583.9,1228071038,1985673798,2424499009,3314898292,2359903108,2707123772,3414760915,3632043908,4060758804,4435078648,5746945913,7314865176,8158548717,8992642349,10701011897,12881352688,12044212904,11926953259,12890867539,12319784787,12776277515,13228244357,11386931490,11883682171,13039352744
"Andorra","AND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78619206.09,89409820.36,113408231.9,150820102.8,186558696.3,220127246.4,227281024.6,254020153.3,308008897.6,411578334.2,446416105.8,388958731.3,375895956.4,327861832.9,330070689.3,346737964.8,482000594,611316399.4,721425939.2,795449332.4,1029048482,1106928583,1210013652,1007025755,1017549124,1178738991,1223945357,1180597273,1211932398,1239876305,1434429703,1496912752,1733116883,2398645598,2935659300,3255789081,3543256806,4016972351,4007353157,3660530703,3355695364,3442062830,3164615187,3281585236,3350736367,2811489409,2877311947,3012914131
"Arab World","ARB",NA,NA,NA,NA,NA,NA,NA,NA,25752663334,28425351599,31375728863,36415569616,43302571643,55001266851,1.05113e+11,1.16301e+11,1.44801e+11,1.67256e+11,1.83498e+11,2.48569e+11,3.38072e+11,3.48484e+11,3.24228e+11,3.03868e+11,3.07845e+11,3.03799e+11,2.88939e+11,3.12584e+11,3.07407e+11,3.22225e+11,4.46738e+11,4.39642e+11,4.71017e+11,4.76365e+11,4.87375e+11,5.23357e+11,5.78012e+11,6.12896e+11,5.90693e+11,6.43148e+11,7.34768e+11,7.23283e+11,7.29052e+11,8.23111e+11,9.63862e+11,1.18466e+12,1.40411e+12,1.63757e+12,2.07812e+12,1.79582e+12,2.10955e+12,2.5013e+12,2.78614e+12,2.86604e+12,2.90692e+12,2.55448e+12,2.50016e+12,2.59105e+12
"United Arab Emirates","ARE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14720672507,19213022691,24871775165,23775831783,31225463218,43598748449,49333424135,46622718605,42803323345,41807954236,40603650232,33943612095,36384908744,36275674203,41464995914,50701443748,51552165622,54239171888,55625170253,59305093980,65743666576,73571233996,78839008445,75674336283,84445473111,1.04337e+11,1.03312e+11,1.09816e+11,1.24346e+11,1.47824e+11,1.80617e+11,2.22117e+11,2.57916e+11,3.15475e+11,2.53547e+11,2.89787e+11,3.50666e+11,3.74591e+11,3.90108e+11,4.03137e+11,3.58135e+11,3.57045e+11,3.82575e+11
"Argentina","ARG",NA,NA,24450604878,18272123664,25605249382,28344705967,28630474728,24256667553,26436857247,31256284544,31584210366,33293199095,34733000536,52544000117,72436777342,52438647922,51169499891,56781000101,58082870156,69252328953,76961923742,78676842366,84307486837,1.03979e+11,79092001998,88416668900,1.10934e+11,1.11106e+11,1.26207e+11,76636898036,1.41352e+11,1.8972e+11,2.28789e+11,2.36742e+11,2.5744e+11,2.58032e+11,2.7215e+11,2.92859e+11,2.98948e+11,2.83523e+11,2.84204e+11,2.68697e+11,97724004252,1.27587e+11,1.64658e+11,1.98737e+11,2.32557e+11,2.87531e+11,3.61558e+11,3.32976e+11,4.23627e+11,5.30163e+11,5.45982e+11,5.52025e+11,5.2632e+11,5.94749e+11,5.54861e+11,6.3759e+11
"Armenia","ARM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2256838858,2068526522,1272577456,1201313201,1315158670,1468317350,1596968913,1639492424,1893726437,1845482181,1911563665,2118467913,2376335048,2807061009,3576615240,4900469950,6384451606,9206301700,11662040714,8647936748,9260284938,10142111334,10619320049,11121465767,11609512940,10553337673,10546135160,11536590636
"American Samoa","ASM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.14e+08,5.27e+08,5.12e+08,5.03e+08,4.96e+08,5.2e+08,5.63e+08,6.78e+08,5.76e+08,5.74e+08,6.44e+08,6.41e+08,6.43e+08,6.59e+08,6.58e+08,NA
